iteration	period
1	0.306454
2	0.23334
3	0.451894
4	0.245066
5	0.38214
6	0.262638
7	0.213201
8	0.443818
9	0.274745
10	0.343869
11	0.290693
12	0.225362
13	0.279452
14	0.281473
15	0.282171
16	0.35962
17	0.410518
18	0.225964
19	0.278858
20	0.279852
21	0.228979
22	0.213315
23	0.234708
24	0.238958
25	0.249706
26	0.210054
27	0.23098
28	0.246297
29	0.214658
30	0.207004
31	0.233313
32	0.207856
33	0.231014
34	0.25391
35	0.213308
36	0.20559
37	0.249685
38	0.248861
39	1.571064
40	1.679934
41	0.329761
42	0.262467
43	0.325033
44	0.228815
45	0.244597
46	0.232194
47	0.252246
48	0.212372
49	0.201726
50	0.24655
51	0.224042
52	0.28824
53	0.264668
54	0.244231
55	0.250051
56	0.215161
57	0.218531
58	0.275674
59	0.278553
60	0.225374
61	0.217423
62	0.210639
63	0.241195
64	0.350474
65	0.317223
66	0.36142
67	3.486237
68	2.094118
69	0.254672
70	0.299307
71	0.496814
72	0.549816
73	0.362583
74	0.285537
75	0.333209
76	0.269465
77	0.296484
78	0.355904
79	0.275449
80	0.251566
81	0.265994
82	0.260758
83	0.201737
84	0.227737
85	0.267267
86	3.633308
87	0.327679
88	1.641476
89	1.005015
90	0.284055
91	0.251994
92	0.241156
93	0.238879
94	0.205071
95	0.270124
96	1.794928
97	0.274373
98	0.240829
99	0.257373
100	0.275205
101	0.434567
102	0.29459
103	0.242635
104	0.261744
105	0.230227
106	0.281549
107	0.237136
108	0.205821
109	0.261314
110	0.23032
111	0.221372
112	0.238037
113	0.427028
114	0.227121
115	0.180921
116	0.230539
117	0.225987
118	0.24882
119	1.773544
120	0.294361
121	1.548753
122	0.319062
123	0.506499
124	3.46917
125	0.247589
126	0.267269
127	0.263068
128	0.300532
129	0.240313
130	0.235668
131	0.240726
132	0.232164
133	0.241581
134	0.470528
135	0.244338
136	3.304911
137	0.327696
138	0.265806
139	0.247084
140	0.597538
141	0.241393
142	0.359373
143	0.251706
144	0.297769
145	0.457708
146	0.587178
147	0.745473
148	0.375306
149	0.442204
150	1.433874
151	0.467646
152	1.724377
153	0.296988
154	0.322453
155	0.280909
156	0.3653
157	0.344687
158	0.28617
159	0.273432
160	0.277448
161	0.321517
162	0.303173
163	0.292225
164	0.278945
165	0.281487
166	0.321769
167	0.269655
168	0.285681
169	0.28695
170	0.307893
171	0.273674
172	0.301536
173	0.268893
174	0.2866
175	0.261753
176	0.416734
177	1.091247
178	0.56904
179	0.260605
180	0.296379
181	0.290281
182	0.318328
183	0.321753
184	0.269041
185	0.334686
186	0.294533
187	0.303053
188	0.271165
189	0.274821
190	0.271438
191	0.292227
192	0.31368
193	0.267229
194	0.989309
195	0.317152
196	0.306978
197	0.323625
198	0.337806
199	0.29072
200	0.719776
201	0.197508
202	0.21446
203	0.196038
204	0.174862
205	0.279063
206	0.322856
207	0.342242
208	0.31249
209	0.342121
210	0.558347
211	0.507692
212	0.551675
213	0.377198
214	0.510989
215	0.510542
216	0.508691
217	0.497337
218	0.493085
219	0.526411
220	6.61301
221	7.298001
222	6.418616
223	6.50032
224	6.523635
225	6.50658
226	7.747357
227	6.834817
228	7.647606
229	6.697977
230	7.148605
231	11.1138
232	7.060894
233	7.116308
234	6.598087
235	6.528409
236	6.583523
237	7.590304
238	6.633659
239	6.73524
