iteration	period
1	0.15718
2	0.165723
3	0.135873
4	0.133256
5	0.126941
6	0.128249
7	0.139547
8	0.150955
9	0.134475
10	0.126469
11	0.143824
12	0.138969
13	0.148351
14	0.143075
15	0.190696
16	0.123666
17	0.137863
18	0.128244
19	0.174411
20	0.17033
21	0.171488
22	0.550841
23	0.134634
24	0.14124
25	0.158208
26	0.139014
27	0.130025
28	0.133573
29	0.134828
30	0.150003
31	0.141029
32	0.127661
33	0.128173
34	0.122142
35	0.152486
36	0.119724
37	0.127323
38	0.133394
39	0.135872
40	0.119356
41	0.137348
42	0.142793
43	0.136906
44	0.130909
45	0.131664
46	0.184781
47	0.119528
48	0.135383
49	0.127857
50	0.12237
51	0.143607
52	0.121411
53	0.131465
54	0.160535
55	0.132637
56	0.13027
57	0.129611
58	0.127576
59	0.129865
60	0.121214
61	0.111099
62	0.115908
63	0.157095
64	0.151663
65	0.134901
66	0.146552
67	0.128913
68	0.135952
69	0.146572
70	0.12817
71	0.129707
72	0.134226
73	0.149813
74	0.125332
75	0.141772
76	0.132135
77	0.113557
78	0.138171
79	0.140319
80	0.133249
81	0.129587
82	0.155954
83	0.129544
84	0.12817
85	0.133107
86	0.12659
87	0.155974
88	0.138602
89	0.134891
90	0.128817
91	0.128981
92	0.125523
93	0.120199
94	0.138128
95	0.153407
96	0.142789
97	0.115978
98	0.127572
99	0.14596
100	0.122324
101	0.130284
102	0.146581
103	0.144514
104	0.140131
105	0.11714
106	0.133857
107	0.123873
108	0.136768
109	0.118259
110	0.118945
111	0.149161
112	0.556776
113	0.136134
114	0.139393
115	0.134552
116	0.119947
117	0.123981
118	0.129872
119	6.16061
120	6.161586
121	6.579214
122	0.162064
123	0.128318
124	0.123691
125	0.131072
126	0.140953
127	0.128998
128	0.120817
129	0.129495
130	0.143247
131	0.11663
132	0.494915
133	0.150124
134	3.257057
135	0.126403
136	0.132786
137	0.13565
138	0.131755
139	0.15632
140	0.55288
141	0.14252
142	0.148836
143	0.134338
144	0.110497
145	0.140354
146	0.141044
147	0.138673
148	0.145339
149	0.139593
150	0.118015
151	0.118848
152	0.105603
153	0.125133
154	0.118384
155	0.123073
156	0.194
157	0.22203
158	0.117671
159	0.129721
160	0.120711
161	0.140039
162	0.131105
163	0.110811
164	0.128689
165	0.128601
166	0.126664
167	0.127362
168	0.160461
169	0.122506
170	0.129869
171	0.133186
172	0.125008
173	0.128965
174	0.119334
175	0.124456
176	0.134613
177	0.124696
178	0.129896
179	0.154491
180	0.558561
181	0.129535
182	0.127228
183	0.129722
184	0.135661
185	0.133095
186	0.131837
187	0.142516
188	0.128747
189	0.161324
190	0.127013
191	0.123033
192	0.131642
193	0.158912
194	0.151976
195	0.128795
196	0.146481
197	0.118068
198	0.137027
199	0.1224
200	0.14191
201	0.116341
202	0.136499
203	0.128685
204	0.112309
205	0.124731
206	0.14942
207	0.124849
208	0.124985
209	0.135183
210	0.132023
211	0.120372
212	0.110756
213	0.121647
214	0.127244
215	0.115847
216	0.136912
217	0.128916
218	0.161926
219	0.141508
220	0.144619
221	0.12423
222	0.134987
223	0.143064
224	0.538841
225	0.121968
226	0.133062
227	0.119609
228	0.129744
229	0.129438
230	0.141161
231	0.125373
232	0.117015
233	0.135288
234	0.148178
235	0.145945
236	0.131688
237	0.145828
238	0.128147
239	0.21016
240	0.232039
241	0.187589
242	0.150545
243	0.200911
244	0.258205
245	0.219646
246	0.216807
247	0.203396
248	0.219813
249	0.209144
250	1.51942
251	0.1781
252	0.235396
253	0.257425
254	0.223835
255	0.208932
256	0.220534
257	0.199614
258	0.215754
259	0.647638
260	0.211586
261	0.207382
262	0.218326
263	0.226133
264	0.21309
265	0.167351
266	0.206372
267	0.141082
268	0.223994
269	0.218578
270	0.218996
271	0.545387
272	0.218413
273	0.195167
274	0.210314
275	0.224529
276	0.249088
277	0.205538
278	0.170549
279	0.353505
280	0.197304
281	0.144926
282	0.13596
283	0.207956
284	0.217044
285	0.236032
286	0.210216
287	0.193711
288	0.24833
289	0.205296
290	0.223257
291	0.22109
292	0.21008
293	0.163932
294	0.219382
295	0.208658
296	0.188441
297	0.19588
298	0.195916
299	0.314471
300	0.220235
301	0.584058
302	0.212226
303	0.231877
304	0.201746
305	0.223849
306	0.250538
307	0.218907
308	0.239909
309	0.227154
310	0.162965
311	0.219806
312	0.21997
313	0.225252
314	0.39421
315	0.227649
316	0.216133
317	0.199901
318	0.200119
319	0.204012
320	0.202426
321	0.115151
322	0.141152
323	0.220838
324	0.186357
325	0.205416
326	0.101632
327	0.225311
328	0.480331
329	0.116594
330	0.199523
331	0.249579
332	0.21188
333	0.125256
334	0.210145
335	0.217636
336	0.214065
337	0.331877
338	0.165273
339	0.169518
340	0.182469
341	0.213275
342	0.194108
343	0.116583
344	0.226957
345	0.12869
346	0.646411
347	0.134978
348	0.094206
349	0.16829
350	0.174204
351	0.08853
352	0.224884
353	0.214629
354	0.215244
355	0.222547
356	0.218587
357	0.22742
358	0.231792
359	0.141446
360	0.14835
361	0.24677
362	0.215482
363	0.195189
364	0.169096
365	0.231851
366	0.21829
367	0.188342
368	0.209155
369	0.227933
370	0.189592
371	0.191195
372	6.230023
373	6.276835
374	6.330667
375	0.184319
376	0.167358
377	0.151721
378	0.260627
379	0.117733
380	0.209667
381	0.115019
382	0.226839
383	0.184997
384	0.437915
385	0.223241
386	0.22264
387	0.212703
388	0.191328
389	0.213321
390	0.141354
391	0.132483
392	0.234513
393	0.195619
394	0.218653
395	0.195797
396	0.194324
397	0.222798
398	0.200939
399	0.157387
400	0.225946
401	0.19877
402	0.195566
403	0.223728
404	0.222612
405	0.162575
406	0.182752
407	0.176446
408	0.214136
409	0.20197
410	0.176419
411	0.224459
412	0.242276
413	0.616374
414	0.209123
415	0.236859
416	0.189532
417	0.113362
418	0.128169
419	0.102205
420	0.091872
421	0.105459
422	0.092803
423	0.135825
424	0.229558
425	0.116289
426	0.158294
427	0.171873
428	0.213322
429	0.1216
430	0.202894
431	0.215111
432	0.199977
433	0.129033
434	0.225164
435	0.235034
436	0.208672
437	0.208277
438	0.218592
439	0.218253
440	0.201478
441	0.21757
442	0.209317
443	0.196883
444	0.217113
445	0.212821
446	0.406421
447	0.201592
448	0.173327
449	0.232925
450	0.195126
451	0.218945
452	0.221019
453	0.190208
454	0.217204
455	0.229212
456	0.197102
457	0.214226
458	0.203814
459	0.211628
460	0.225974
461	0.220893
462	0.209512
463	0.195371
464	0.158407
465	0.205132
466	0.239914
467	0.22002
468	0.225761
469	0.221217
470	0.21886
471	0.222166
472	0.213503
473	0.201893
474	0.200074
475	0.197085
476	0.225423
477	0.224458
478	0.219311
479	0.147218
480	0.188285
481	0.229055
482	0.132849
483	0.202161
484	0.214965
485	0.198279
486	0.23206
487	0.142726
488	0.126572
489	0.203516
490	0.12595
491	0.217779
492	0.177317
493	0.186649
494	0.218127
495	0.176146
496	0.143708
497	0.222288
498	0.245845
499	0.163574
500	0.219641
501	0.155948
502	0.147103
503	0.208792
504	0.159835
505	0.205713
506	0.154368
507	0.211538
508	0.127227
509	0.208983
510	0.182448
511	0.214234
512	0.226049
513	0.16682
514	0.19816
515	0.202852
516	0.176243
517	0.171291
518	0.19762
519	0.222034
