iteration	period
1	0.137003
2	0.161725
3	0.1345
4	0.137079
5	0.120789
6	0.174705
7	0.111951
8	0.136034
9	0.140724
10	0.150046
11	0.161684
12	0.110639
13	0.113014
14	0.155405
15	0.22085
16	0.135248
17	0.136698
18	0.135096
19	0.128017
20	0.147622
21	0.168457
22	0.119817
23	0.119647
24	0.104135
25	0.131275
26	0.135026
27	0.15839
28	0.124657
29	0.134492
30	0.150148
31	0.132651
32	0.132304
33	0.131386
34	0.140605
35	0.12518
36	0.145448
37	0.120348
38	0.121295
39	0.142099
40	0.148278
41	0.146905
42	0.118906
43	0.114294
44	0.131702
45	0.145554
46	0.134656
47	0.11515
48	0.082062
49	0.132811
50	0.122628
51	0.131061
52	0.114969
53	0.121984
54	0.131106
55	0.12537
56	0.130108
57	0.135285
58	0.127318
59	0.127578
60	0.132178
61	0.117001
62	0.110683
63	0.124788
64	0.132852
65	0.119734
66	0.128845
67	0.117786
68	0.141769
69	0.115318
70	0.116918
71	0.12144
72	0.11258
73	0.541209
74	0.129604
75	0.141404
76	0.14028
77	0.128386
78	0.12592
79	0.125093
80	0.136922
81	0.127437
82	0.115253
83	0.129775
84	0.117848
85	0.132145
86	0.137586
87	0.132711
88	0.135367
89	0.118439
90	0.141502
91	0.123266
92	0.139413
93	0.136995
94	0.131885
95	0.125928
96	0.110986
97	0.130801
98	0.132031
99	0.137454
100	0.14422
101	0.148069
102	0.120636
103	0.13301
104	0.127738
105	0.130211
106	0.123805
107	0.126854
108	0.118984
109	0.144751
110	0.130774
111	0.116195
112	0.13621
113	0.123619
114	0.11519
115	0.127267
116	0.149177
117	0.116707
118	0.135205
119	0.131092
120	0.132076
121	0.128289
122	0.131537
123	0.142077
124	0.116333
125	0.139118
126	0.126877
127	0.126545
128	0.123246
129	0.139377
130	0.150274
131	0.147576
132	0.128364
133	0.119303
134	0.123362
135	0.124068
136	0.13638
137	0.128548
138	0.11341
139	0.137484
140	0.143463
141	0.126495
142	0.132781
143	0.130939
144	0.130226
145	0.102962
146	0.162491
147	0.534888
148	0.145827
149	0.120409
150	6.148077
151	6.250638
152	6.544399
153	6.155722
154	6.229258
155	6.6494
156	6.130049
157	6.497795
158	6.191717
159	6.263748
160	6.634471
161	6.236427
162	6.540292
163	6.144133
164	6.23727
165	6.550325
166	6.129507
167	6.166182
168	6.236652
169	6.234098
170	6.561427
171	6.374436
172	6.71823
173	6.238984
174	6.241725
175	6.144619
176	6.744716
177	6.544266
178	6.154228
179	6.136214
180	6.232765
181	6.754414
182	6.119601
183	6.130582
184	6.152884
185	6.665718
186	6.248224
187	6.647073
188	6.135654
189	6.138029
190	6.649692
191	6.140225
192	6.2427
193	6.247824
194	6.556941
195	6.227543
196	6.18083
197	6.20473
198	6.148517
199	6.617694
200	6.249029
201	0.190657
202	0.104295
203	0.102735
204	0.140782
205	0.093371
206	0.115363
207	0.125146
208	0.120324
209	0.117765
210	0.110612
211	0.13224
212	0.142082
213	0.136028
214	0.131312
215	0.119057
216	0.124607
217	0.141246
218	0.350027
219	0.124071
220	0.111877
221	0.118411
222	0.357344
223	0.114789
