iteration	period
1	0.185833
2	0.17304
3	0.157721
4	0.147037
5	0.153979
6	0.129143
7	0.156915
8	0.160822
9	0.143238
10	0.155414
11	0.16589
12	0.141749
13	0.398975
14	0.183963
15	0.155035
16	3.159856
17	0.573932
18	0.161356
19	0.161751
20	0.173205
21	3.260781
22	0.149443
23	0.381526
24	0.184552
25	0.38599
26	1.434858
27	0.451982
28	0.159958
29	0.170523
30	0.487006
31	0.372255
32	0.145055
33	0.131067
34	0.128461
35	0.135297
36	0.144051
37	0.156104
38	0.144448
39	0.159358
40	0.164136
41	0.158324
42	0.157172
43	0.1611
44	0.163117
45	0.144138
46	0.144889
47	0.154951
48	0.155886
49	0.199113
50	0.155842
51	0.144219
52	0.143023
53	0.154694
54	0.167795
55	0.149426
56	0.157377
57	0.401619
58	0.151266
59	0.135133
60	0.138059
61	0.136135
62	0.159305
63	0.150044
64	0.146057
65	0.134478
66	0.157354
67	0.158046
68	0.172126
69	0.145193
70	0.144626
71	0.150368
72	0.15486
73	0.148317
74	0.144307
75	0.137975
76	0.155297
77	0.20937
78	0.166142
79	0.153069
80	0.160124
81	0.163983
82	0.142799
83	0.165875
84	0.164046
85	0.142766
86	0.153281
87	0.141814
88	0.152132
89	0.155081
90	0.379434
91	0.146398
92	0.459659
93	0.575412
94	4.74249
95	0.154878
96	0.154134
97	0.155552
98	0.1552
99	0.174645
100	0.152734
101	0.140019
102	0.498539
103	0.159705
104	0.176696
105	0.166115
106	0.157276
107	0.16135
108	0.166638
109	0.161982
110	3.175372
111	0.16224
112	0.391194
113	0.171961
114	0.157838
115	0.150134
116	0.242608
117	0.165916
118	0.147873
119	0.143301
120	3.188254
121	0.167865
122	0.151064
123	0.156708
124	0.161275
125	0.160755
126	0.164785
127	0.158204
128	0.202191
129	0.180038
130	0.164239
131	0.148631
132	0.139088
133	0.369976
134	0.156202
135	0.143483
136	0.160808
137	0.131482
138	0.161077
139	0.182592
140	3.302426
141	0.570779
142	0.152017
143	0.177153
144	0.132867
145	0.184286
146	0.143901
147	0.148707
148	0.157934
149	0.144894
150	0.157209
151	0.154267
152	0.156564
153	0.142749
154	0.145177
155	0.141452
156	0.137907
157	0.16487
158	0.19387
159	0.159182
160	0.154517
161	0.139655
162	0.133369
163	0.132207
164	0.144031
165	0.154015
166	0.139911
167	0.133799
168	0.149159
169	0.135556
170	0.139462
171	0.15603
172	0.148332
173	0.15082
174	0.146176
175	3.212844
176	0.157313
177	0.139307
178	0.143837
179	0.143964
180	0.408749
181	0.136856
182	0.138655
183	0.135655
184	0.364001
185	0.168167
186	0.155205
187	0.145226
188	0.141385
189	0.154553
190	0.149656
191	0.146118
192	0.15617
193	0.153373
194	0.134554
195	0.134624
196	0.150983
197	0.166218
198	0.15136
199	0.144642
200	6.209507
201	6.177115
202	6.625498
203	0.155833
204	0.128663
205	0.169162
206	0.156208
207	0.132814
208	0.144605
209	0.145218
210	0.144017
211	0.199393
212	0.147214
213	0.148291
214	0.596995
215	0.141462
216	0.158628
217	0.138943
218	0.141272
219	0.38154
220	0.148684
221	0.155452
222	0.368672
223	0.149095
224	0.150973
225	0.138568
226	0.143827
227	0.160501
228	0.134862
229	0.151044
230	0.16096
231	0.153715
232	0.13611
233	0.146624
234	0.148073
235	0.154485
236	0.152431
237	0.14357
238	0.140683
239	0.227336
240	0.246071
241	1.584343
242	0.192875
243	0.282911
244	0.271389
245	0.253335
246	0.266141
247	0.279621
248	0.250665
249	0.240898
250	0.257012
251	0.209895
252	0.376238
253	0.27254
254	0.244522
255	0.26256
256	0.265795
257	0.258194
258	0.259519
259	0.265263
260	0.23999
261	0.445009
262	0.269915
263	0.257801
264	0.255545
265	0.20573
266	0.391927
267	0.210312
268	3.346535
269	0.699571
270	0.266557
271	0.262012
272	0.287555
273	0.196172
274	0.294458
275	0.280148
276	3.235658
277	0.255625
278	0.26197
279	0.249581
280	0.252463
281	0.169957
282	0.196816
283	0.255235
284	0.265112
285	0.254968
286	0.241598
287	0.247394
288	0.301328
289	0.263391
290	0.268367
291	0.385322
292	0.252334
293	0.168552
294	0.272909
295	0.260871
296	0.226224
297	0.238125
298	0.252027
299	0.201147
300	0.276135
301	0.252471
302	0.237686
303	0.278788
304	0.419028
305	0.231614
306	0.283681
307	0.393806
308	0.267964
309	0.25608
310	0.200554
311	0.390594
312	0.242898
313	0.261418
314	0.565
315	0.258463
316	0.260665
317	0.232803
318	0.545086
319	0.263947
320	0.239673
321	3.169631
322	0.162384
323	0.269238
324	0.214906
325	0.300836
326	0.132127
327	0.252339
328	0.253678
329	0.119171
330	0.259451
331	0.261042
332	0.245999
333	0.145704
334	0.275938
335	0.281776
336	0.662507
337	0.205897
338	0.200132
339	0.202765
340	0.194818
341	0.286294
342	0.254968
343	0.142781
344	0.25014
345	0.144295
346	0.24932
347	0.134282
348	0.111969
349	0.184676
350	0.201704
351	0.127368
352	0.271465
353	0.234083
354	0.271605
355	0.430238
356	0.516791
357	0.227923
358	0.257353
359	0.197695
360	0.202379
361	0.26246
362	0.237845
363	0.262396
364	0.190747
365	0.280349
366	0.266973
367	0.241177
368	0.254143
369	0.264606
370	0.250528
371	0.209194
372	0.147381
373	0.21647
374	0.264301
375	0.188035
376	0.528168
377	0.559459
378	0.623405
379	0.160226
380	0.252233
381	0.153303
382	0.26504
383	0.202201
384	0.256918
385	0.265891
386	3.467576
387	0.262019
388	0.25206
389	0.261921
390	0.210645
391	0.201122
392	0.286112
393	0.25466
394	0.293596
395	0.267978
396	0.240869
397	0.243848
398	0.246441
399	0.190437
400	0.274725
401	0.244664
402	0.262382
403	0.297046
404	0.297147
405	0.215875
406	0.241211
407	0.227032
408	0.252435
409	0.531425
410	0.254019
411	0.297103
412	0.653658
413	0.258904
414	0.256471
415	1.639036
416	0.268192
417	0.176869
418	0.148105
419	0.133698
420	0.111906
421	0.125012
422	0.106598
423	0.13797
424	0.263865
425	0.453744
426	0.207243
427	0.204642
428	0.263844
429	0.563822
430	0.255404
431	0.287996
432	0.278079
433	0.171494
434	0.253698
435	0.26382
436	0.265644
437	0.249002
438	0.237291
439	0.265287
440	0.25317
441	0.243403
442	0.263514
443	0.331083
444	0.276601
445	0.274724
446	0.255118
447	0.229553
448	0.220611
449	0.244021
450	0.264077
451	0.258847
452	0.278084
453	6.33136
454	6.632727
455	6.549715
456	0.516543
457	0.290413
458	0.261755
459	0.263115
460	0.258181
461	0.268375
462	0.255015
463	0.277189
464	0.191952
465	0.299814
466	0.253559
467	0.264447
468	0.287453
469	0.325963
470	0.234233
471	0.568086
472	0.249605
473	0.271851
474	0.215852
475	0.263262
476	3.347189
477	0.267701
478	0.252516
479	0.790762
480	0.251872
481	0.259188
482	0.163172
483	0.260367
484	0.309219
485	0.255008
486	0.266992
487	0.175602
488	0.13213
489	0.27189
490	0.141669
491	0.261841
492	0.19296
493	0.227751
494	0.265807
495	0.192623
496	0.179265
497	0.233608
498	0.256546
499	0.278573
500	0.232787
501	0.189659
502	0.166108
503	0.233506
504	0.180738
505	0.258163
506	0.199126
507	0.25219
508	0.157956
509	0.247058
510	0.250889
511	0.233707
512	0.273349
513	0.206802
514	0.243776
515	0.25569
516	0.195466
517	0.241042
518	0.538071
519	0.239692
520	0.27842
521	0.548215
522	0.271869
523	0.243439
524	0.190602
525	0.267818
526	0.277632
527	0.255009
528	0.25499
529	0.273187
530	0.250265
531	0.137757
532	0.150617
533	0.277458
534	0.251076
535	0.240661
536	0.184871
537	0.267148
538	0.265306
539	0.156601
540	0.174835
541	0.252118
542	0.259359
543	0.299867
544	0.309083
545	0.259138
546	0.283318
547	0.284739
548	0.278794
549	0.254572
550	0.275157
551	0.239325
552	0.279114
553	0.258094
554	0.226884
555	0.304627
556	0.293655
557	0.239134
558	0.264906
559	0.252986
560	0.202718
561	0.280071
562	0.254342
563	0.255445
564	0.270574
565	0.270955
566	0.249178
567	0.272629
568	0.25235
569	0.247825
570	0.2771
571	0.657798
572	0.248127
573	0.272044
574	0.250442
575	0.192028
576	0.135275
577	0.158351
578	0.258946
579	0.277847
580	0.243004
581	0.166403
582	0.238563
583	0.203969
584	0.283215
585	0.171787
586	0.250163
587	0.192706
588	0.258451
589	0.283342
590	0.274073
591	0.270972
592	0.23523
593	0.240729
594	0.200157
595	0.245203
596	0.266549
597	0.252446
598	0.301662
599	0.293856
600	0.249896
601	0.282697
602	0.260153
603	0.230234
604	0.266428
605	0.272796
606	0.263612
607	0.262493
608	0.262968
609	0.203335
610	0.11082
611	0.276577
612	0.663245
613	0.29784
614	0.269898
615	0.277976
616	0.243289
617	0.47522
618	0.268038
619	0.224909
620	0.172857
621	0.567149
622	0.257548
623	0.217054
624	0.266849
625	0.14698
626	0.264282
627	0.251351
628	0.240628
629	0.256909
630	0.257348
631	0.249556
632	0.253305
633	0.229405
634	0.230484
635	3.314954
636	0.273656
637	0.248004
638	0.22335
639	0.269644
640	0.275905
641	0.241339
642	0.247146
643	0.246443
644	0.260282
645	0.262004
646	0.261419
647	0.216853
648	0.247034
649	0.188723
650	0.204548
651	0.271675
652	0.24879
653	0.666034
654	0.270285
655	0.208799
656	0.265195
657	0.25814
658	3.286716
659	0.262347
660	0.266516
661	0.257329
662	3.291894
663	0.279222
664	0.252616
665	0.168666
666	0.304649
667	0.666565
668	0.231586
669	0.269987
670	0.270685
671	0.185259
672	0.449067
673	0.464287
674	0.256959
675	0.270279
676	0.230216
677	0.187237
678	0.194481
679	0.174905
680	0.119581
681	0.117485
682	0.240255
683	0.319127
684	0.246413
685	0.19765
686	0.114022
687	0.146014
688	0.252422
689	0.171935
690	0.270521
691	0.196855
692	0.20626
693	0.265135
694	0.316823
695	0.133759
696	0.215382
697	0.394164
698	0.154063
699	0.781828
700	0.249961
701	0.224211
702	0.516955
703	0.245602
704	0.178888
705	0.155324
706	6.182333
707	6.119957
708	6.830637
709	0.175368
710	0.225481
711	0.28902
712	0.186267
713	0.206044
714	0.270717
715	0.269207
716	0.190541
717	0.263409
718	0.238571
719	0.145472
720	0.251788
721	0.248315
722	0.12196
723	0.318731
724	0.265332
725	0.240318
726	0.306723
727	0.247729
728	0.25023
729	0.265542
730	0.282093
731	0.220458
732	0.27256
733	0.267997
734	0.238065
735	0.284877
736	0.243898
737	0.256018
738	0.254482
739	0.255454
740	0.23681
741	0.273821
742	0.267396
743	0.255022
744	0.195375
745	0.260003
746	0.186451
747	0.255954
748	0.247794
749	0.242676
750	0.23388
751	0.256691
752	0.267063
753	0.251506
754	0.239705
755	0.224181
756	0.251639
757	0.228054
758	0.255191
759	0.23987
760	0.24776
761	0.246608
762	0.268983
763	0.252443
764	0.269378
765	0.236914
766	0.243241
767	0.245033
768	0.227358
769	0.248598
770	0.261605
771	0.203984
772	0.467766
773	0.25449
774	0.264086
775	0.231205
776	0.238598
777	0.249123
778	0.252571
779	0.239406
780	0.262266
781	0.242758
782	0.23778
783	0.202276
784	0.263695
785	0.253972
786	0.248563
787	0.229965
788	0.24927
789	0.272998
790	0.259777
791	0.245907
792	0.20028
793	0.248886
794	0.259451
795	0.254542
796	0.241565
797	0.150437
798	0.239475
799	0.218904
800	0.255049
801	0.24989
802	0.24852
803	0.184604
804	0.230325
805	0.188742
806	0.737248
807	0.232292
808	0.24244
809	0.267927
810	0.23235
811	0.271647
812	0.277588
813	0.580335
814	0.247559
815	0.262158
816	0.366438
817	1.584211
818	0.246796
819	0.244363
820	0.237342
821	0.244881
822	0.245223
823	0.257707
824	0.247083
825	0.258675
826	0.231492
827	0.281485
828	0.24463
829	0.233143
830	0.14629
831	0.240142
832	0.218256
833	0.266254
834	0.336451
835	0.129784
836	0.265376
837	0.204472
838	0.775741
839	0.250676
840	0.234935
841	0.266613
842	0.280157
843	0.263108
844	0.279994
845	0.24705
846	0.247441
847	0.247551
848	0.235529
849	0.244253
850	0.249267
851	0.270474
